"No.","Time","Source","Destination","Protocol","Length","Message Type","Destination Port","Source Port","Message","Message Identifier","Info"
"216","21.593103828","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","33099","","","Connect Command"
"217","21.593514875","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","36811","","","Connect Command"
"222","21.595936534","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","42327","","","Connect Command"
"223","21.596027195","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","49891","","","Connect Command"
"226","21.596181467","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","46033","","","Connect Command"
"229","21.596739873","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","59005","","","Connect Command"
"232","21.596900717","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","48975","","","Connect Command"
"235","21.597159316","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","48961","","","Connect Command"
"242","21.604536917","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","43243","","","Connect Command"
"243","21.604584276","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","33099","1883","","","Connect Ack"
"245","21.604642787","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","36811","1883","","","Connect Ack"
"247","21.605009110","192.168.15.2","45.179.91.194","MQTT","124","Connect Command","1883","39299","","","Connect Command"
"251","21.613467093","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","49891","1883","","","Connect Ack"
"253","21.613537065","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","42327","1883","","","Connect Ack"
"255","21.613595145","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","46033","1883","","","Connect Ack"
"259","21.613832664","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","59005","1883","","","Connect Ack"
"261","21.613933765","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","48975","1883","","","Connect Ack"
"264","21.614084881","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","48961","1883","","","Connect Ack"
"268","21.615785116","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","43243","1883","","","Connect Ack"
"270","21.615843457","45.179.91.194","192.168.15.2","MQTT","70","Connect Ack","39299","1883","","","Connect Ack"
"282","23.595414365","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","36811","","1","Subscribe Request (id=1) [devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496]"
"283","23.595650001","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","33099","","1","Subscribe Request (id=1) [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"284","23.599236834","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","48975","","1","Subscribe Request (id=1) [devices-3616bd97-1b2f-4db3-911f-7585a934b8f3]"
"285","23.599295264","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","48961","","1","Subscribe Request (id=1) [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
"286","23.599363794","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","59005","","1","Subscribe Request (id=1) [devices-b95e6802-9267-46dc-8faa-c8ec86b42e26]"
"287","23.599465907","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","49891","","1","Subscribe Request (id=1) [devices-86fe3fcd-4826-49b8-9f6d-9cc9cb5793d7]"
"288","23.599516853","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","42327","","1","Subscribe Request (id=1) [devices-aec32284-38bc-4bbb-aaae-61a7795d08df]"
"289","23.599581776","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","46033","","1","Subscribe Request (id=1) [devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90]"
"291","23.607113769","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","33099","7b276d657373616765273a20275959685977393546447a4c7a397166337949784d6a6452â\200\246","2","Publish Message (id=2) [devices-5c20c22c-46a6-4468-9311-3709d7a36f2a]"
"292","23.607158874","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","33099","1883","","1","Subscribe Ack (id=1)"
"295","23.607246510","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","36811","7b276d657373616765273a20276c7745327943675a78725847463734795044774a383953â\200\246","2","Publish Message (id=2) [devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496]"
"296","23.607254034","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","36811","1883","","1","Subscribe Ack (id=1)"
"298","23.607381325","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","39299","","1","Subscribe Request (id=1) [devices-4075e2f4-7024-4263-ae05-f737afd0b351]"
"299","23.607599457","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","43243","","1","Subscribe Request (id=1) [devices-7c810037-db0e-4371-9458-c52078ba9aba]"
"302","23.611107060","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","42327","1883","","1","Subscribe Ack (id=1)"
"304","23.611107311","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","49891","1883","","1","Subscribe Ack (id=1)"
"305","23.611292210","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","49891","7b276d657373616765273a202774687a5572756539577a7a594258314b5356414e43506câ\200\246","2","Publish Message (id=2) [devices-86fe3fcd-4826-49b8-9f6d-9cc9cb5793d7]"
"306","23.611309693","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","42327","7b276d657373616765273a202766666e30577061656b3979437067464d6a675a4f52746câ\200\246","2","Publish Message (id=2) [devices-aec32284-38bc-4bbb-aaae-61a7795d08df]"
