Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Round Trip Time,devices-3616bd97-1b2f-4db3-911f-7585a934b8f3,199,0,24,24.052074341665474,21.649563000210037,36.590943000192055,256.0,0.269729813939495,0.0,24,25,25,25,26,26,26,26,37,37,37
latência,devices-3616bd97-1b2f-4db3-911f-7585a934b8f3,199,0,12,12.372601386899685,10.193858000093314,24.806178999824624,256.0,0.269729813939495,0.0,12,13,13,14,14,14,15,15,25,25,25
Round Trip Time,devices-4075e2f4-7024-4263-ae05-f737afd0b351,199,0,24,23.697380844228363,21.098748999975214,36.460025000451424,256.0,0.269729813939495,0.0,24,24,25,25,25,26,26,36,36,36,36
latência,devices-4075e2f4-7024-4263-ae05-f737afd0b351,199,0,12,12.05705946733415,9.73854299991217,24.538692000533047,256.0,0.269729813939495,0.0,12,13,13,13,14,14,14,24,25,25,25
Round Trip Time,devices-5c20c22c-46a6-4468-9311-3709d7a36f2a,199,0,23,23.614445663312363,21.08344699990994,38.21073200015235,256.0,0.269729813939495,0.0,23,24,25,25,25,25,26,37,38,38,38
latência,devices-5c20c22c-46a6-4468-9311-3709d7a36f2a,199,0,12,12.00293865826207,9.582824000062828,26.574775999506528,256.0,0.269729813939495,0.0,12,13,13,13,13,14,14,25,27,27,27
Round Trip Time,devices-7c810037-db0e-4371-9458-c52078ba9aba,199,0,23,23.459762306515014,21.092726999995648,36.77404900008696,256.0,0.269729813939495,0.0,23,24,24,25,25,25,26,26,37,37,37
latência,devices-7c810037-db0e-4371-9458-c52078ba9aba,199,0,12,11.850898195980655,9.577400999660313,24.810556000375072,256.0,0.269729813939495,0.0,12,12,13,13,13,14,15,16,25,25,25
Round Trip Time,devices-85fe57d3-0304-4b2d-85ec-93132ef051d7,199,0,24,24.627621914558073,22.137475999443268,37.04455000024609,256.0,0.269729813939495,0.0,24,25,25,26,26,26,27,35,37,37,37
latência,devices-85fe57d3-0304-4b2d-85ec-93132ef051d7,199,0,13,12.943449316581384,10.60815700020612,25.20379999987199,256.0,0.269729813939495,0.0,13,13,14,14,15,15,15,19,25,25,25
Round Trip Time,devices-86fe3fcd-4826-49b8-9f6d-9cc9cb5793d7,199,0,24,23.50234222611372,21.12875199964037,36.721890999615425,256.0,0.269729813939495,0.0,24,24,24,24,25,25,26,29,37,37,37
latência,devices-86fe3fcd-4826-49b8-9f6d-9cc9cb5793d7,199,0,12,11.89420193968453,9.76926800012734,24.90991499962547,256.0,0.269729813939495,0.0,12,12,13,13,13,14,14,18,25,25,25
Round Trip Time,devices-aec32284-38bc-4bbb-aaae-61a7795d08df,199,0,24,23.58349220100339,20.78014800008532,36.82657899935293,256.0,0.269729813939495,0.0,24,24,24,25,25,25,26,27,37,37,37
latência,devices-aec32284-38bc-4bbb-aaae-61a7795d08df,199,0,12,12.004983964828138,9.548717999678047,25.141461999737658,256.0,0.269729813939495,0.0,12,13,13,13,13,14,14,14,25,25,25
Round Trip Time,devices-b95e6802-9267-46dc-8faa-c8ec86b42e26,199,0,24,24.03063833666713,21.20630599983997,36.54981500039867,256.0,0.269729813939495,0.0,24,25,25,25,26,26,27,34,37,37,37
latência,devices-b95e6802-9267-46dc-8faa-c8ec86b42e26,199,0,12,12.278330653261673,10.028709999460261,24.813161000565742,256.0,0.269729813939495,0.0,12,13,13,13,14,14,15,16,25,25,25
Round Trip Time,devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496,199,0,24,24.00919434170756,21.450192999509454,36.46321199994418,256.0,0.269729813939495,0.0,24,25,25,25,26,26,27,32,36,36,36
latência,devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496,199,0,12,12.401543291445304,9.885170999950788,24.601471000096353,256.0,0.269729813939495,0.0,12,13,13,14,14,14,16,19,25,25,25
Round Trip Time,devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90,199,0,24,23.61365767835502,18.616210999425675,36.7718050001713,256.0,0.269729813939495,0.0,24,24,25,25,25,25,26,26,37,37,37
latência,devices-e55f01d0-3062-495e-9d03-c1e5cb5b2f90,199,0,12,12.028464517558618,9.739727999658498,25.090314999943075,256.0,0.269729813939495,0.0,12,13,13,13,14,14,14,14,25,25,25
,Aggregated,3980,0,21,18.001254062298106,9.548717999678047,38.21073200015235,256.0,5.3945962787899004,0.0,21,23,24,24,25,25,26,26,37,38,38
