"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"318","19.032647473","192.168.15.8","130.185.238.170","MQTT","89","55897","","1883","Connect Command"
"320","19.112436877","130.185.238.170","192.168.15.8","MQTT","70","1883","","55897","Connect Ack"
"321","19.112472996","192.168.15.8","130.185.238.170","MQTT","354","55897","1,2","1883","Subscribe Request (id=1) [devices-1], Publish Message (id=2) [devices-1]"
"323","19.192029293","130.185.238.170","192.168.15.8","MQTT","71","1883","1","55897","Subscribe Ack (id=1)"
"328","19.271863668","130.185.238.170","192.168.15.8","MQTT","340","1883","2","55897","Publish Message [devices-1], Publish Ack (id=2)"
"336","20.027626320","192.168.15.8","130.185.238.170","MQTT","89","58693","","1883","Connect Command"
"338","20.103145339","130.185.238.170","192.168.15.8","MQTT","70","1883","","58693","Connect Ack"
"339","20.103178876","192.168.15.8","130.185.238.170","MQTT","354","58693","1,2","1883","Subscribe Request (id=1) [devices-2], Publish Message (id=2) [devices-2]"
"341","20.178531519","130.185.238.170","192.168.15.8","MQTT","71","1883","1","58693","Subscribe Ack (id=1)"
"346","20.254460678","130.185.238.170","192.168.15.8","MQTT","340","1883","2","58693","Publish Message [devices-2], Publish Ack (id=2)"
"359","20.720564278","192.168.15.8","130.185.238.170","MQTT","338","55897","3","1883","Publish Message (id=3) [devices-1]"
"360","20.799995539","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"362","20.882006397","130.185.238.170","192.168.15.8","MQTT","70","1883","3","55897","Publish Ack (id=3)"
"368","21.029845807","192.168.15.8","130.185.238.170","MQTT","89","45035","","1883","Connect Command"
"370","21.109419005","130.185.238.170","192.168.15.8","MQTT","70","1883","","45035","Connect Ack"
"371","21.109454903","192.168.15.8","130.185.238.170","MQTT","354","45035","1,2","1883","Subscribe Request (id=1) [devices-3], Publish Message (id=2) [devices-3]"
"373","21.184938641","130.185.238.170","192.168.15.8","MQTT","71","1883","1","45035","Subscribe Ack (id=1)"
"377","21.262529108","130.185.238.170","192.168.15.8","MQTT","340","1883","2","45035","Publish Message [devices-3], Publish Ack (id=2)"
"386","21.815399584","192.168.15.8","130.185.238.170","MQTT","338","58693","3","1883","Publish Message (id=3) [devices-2]"
"387","21.890538233","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"390","21.967993259","130.185.238.170","192.168.15.8","MQTT","70","1883","3","58693","Publish Ack (id=3)"
"395","22.030025524","192.168.15.8","130.185.238.170","MQTT","89","59943","","1883","Connect Command"
"397","22.109599170","130.185.238.170","192.168.15.8","MQTT","70","1883","","59943","Connect Ack"
"398","22.109635630","192.168.15.8","130.185.238.170","MQTT","354","59943","1,2","1883","Subscribe Request (id=1) [devices-4], Publish Message (id=2) [devices-4]"
"400","22.185047531","130.185.238.170","192.168.15.8","MQTT","71","1883","1","59943","Subscribe Ack (id=1)"
"405","22.260958637","130.185.238.170","192.168.15.8","MQTT","340","1883","2","59943","Publish Message [devices-4], Publish Ack (id=2)"
"431","23.029579152","192.168.15.8","130.185.238.170","MQTT","89","55567","","1883","Connect Command"
"435","23.109245362","130.185.238.170","192.168.15.8","MQTT","70","1883","","55567","Connect Ack"
"436","23.109286428","192.168.15.8","130.185.238.170","MQTT","354","55567","1,2","1883","Subscribe Request (id=1) [devices-5], Publish Message (id=2) [devices-5]"
"438","23.184944637","130.185.238.170","192.168.15.8","MQTT","71","1883","1","55567","Subscribe Ack (id=1)"
"443","23.260755993","130.185.238.170","192.168.15.8","MQTT","340","1883","2","55567","Publish Message [devices-5], Publish Ack (id=2)"
"461","24.928025213","192.168.15.8","130.185.238.170","MQTT","338","58693","4","1883","Publish Message (id=4) [devices-2]"
"462","25.002718299","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"464","25.078407559","130.185.238.170","192.168.15.8","MQTT","70","1883","4","58693","Publish Ack (id=4)"
"470","25.476909603","192.168.15.8","130.185.238.170","MQTT","338","45035","3","1883","Publish Message (id=3) [devices-3]"
"473","25.552996237","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
